Date,Hawthorn
08-Jul-07,-0.43
09-Jul-07,-0.41
10-Jul-07,-0.41
11-Jul-07,-0.41
12-Jul-07,-0.39
13-Jul-07,-0.35
14-Jul-07,-0.37
15-Jul-07,-0.37
16-Jul-07,-0.35
17-Jul-07,-0.36
18-Jul-07,-0.39
19-Jul-07,-0.41
20-Jul-07,-0.40
21-Jul-07,-0.35
22-Jul-07,-0.33
23-Jul-07,-0.31
24-Jul-07,-0.32
25-Jul-07,-0.29
26-Jul-07,-0.24
27-Jul-07,-0.27
28-Jul-07,-0.29
29-Jul-07,-0.30
30-Jul-07,-0.31
31-Jul-07,-0.28
01-Aug-07,-0.23
02-Aug-07,-0.22
03-Aug-07,-0.22
04-Aug-07,-0.19
05-Aug-07,-0.13
06-Aug-07,-0.13
07-Aug-07,-0.16
08-Aug-07,-0.18
09-Aug-07,-0.16
10-Aug-07,-0.13
11-Aug-07,-0.08
12-Aug-07,-0.02
13-Aug-07,0.00
14-Aug-07,0.09
15-Aug-07,0.11
16-Aug-07,0.07
17-Aug-07,0.06
18-Aug-07,0.11
19-Aug-07,0.13
20-Aug-07,0.13
21-Aug-07,0.10
22-Aug-07,0.11
23-Aug-07,0.12
24-Aug-07,0.12
25-Aug-07,0.14
26-Aug-07,0.15
27-Aug-07,0.17
28-Aug-07,0.21
29-Aug-07,0.23
30-Aug-07,0.25
31-Aug-07,0.27
01-Sep-07,0.29
02-Sep-07,0.32
03-Sep-07,0.28
04-Sep-07,0.26
05-Sep-07,0.25
06-Sep-07,0.25
07-Sep-07,0.27
08-Sep-07,0.29
09-Sep-07,0.33
10-Sep-07,0.35
11-Sep-07,0.34
12-Sep-07,0.34
13-Sep-07,0.40
14-Sep-07,0.41
15-Sep-07,0.42
16-Sep-07,0.49
17-Sep-07,0.45
18-Sep-07,0.42
19-Sep-07,0.45
20-Sep-07,0.45
21-Sep-07,0.44
22-Sep-07,0.41
23-Sep-07,0.45
24-Sep-07,0.49
25-Sep-07,0.41
26-Sep-07,0.36
27-Sep-07,0.35
28-Sep-07,0.38
29-Sep-07,0.38
30-Sep-07,0.35
01-Oct-07,0.34
03-Oct-07,0.35
05-Oct-07,0.33
07-Oct-07,0.33
09-Oct-07,0.34
11-Oct-07,0.34
13-Oct-07,0.37
15-Oct-07,0.47
17-Oct-07,0.48
19-Oct-07,0.42
21-Oct-07,0.47
23-Oct-07,0.53
25-Oct-07,0.55
27-Oct-07,0.63
29-Oct-07,0.69
