Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement	Start_Date	End_Date	Minimum_Temperature_(_C)	Average_Temperature__(_C)_	Maximum_Temperature_(_C)	Approx._Ave._Flow_Rate_(L/s)	Approx._Depth_to_water_(mBGL)	Approx._Depth_of_Sensor_(mBGL)	Ave._Iron_(Total)_(mg/L)	Ave._EC_(us/cm_25_'C)	Ave._Chloride_(mg/L)	Ave._Sulphate_(mg/L)	Ave._pH	Comments	File_location_link
Coalburn_Mine_(Muir_Burn)	Discharge		Y	Scotland	257424	614414	Discharge	On_Site_Testing	01-Sep-06	01-Sep-06		11.8									7		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
Cuthill_Top	Stepped_Cascade_Top_Inlet	591.1	Y	Scotland	299056	662874	Cascade_Outflow	Temperature_Logger	20-Jul-11	20-Jul-11	10.4	11.0	12.1										\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Cascade_(Aeration)_Report
Dawdon	Shaft	24.1	Y	East_of_Wear	443580	547810	Shaft	ECT_Log_2000	2000	2000	13.6	18.1	23.2									Log_from_-108.52_to_-486.3_mAOD	\\infprod.TCA\shared_folders\Environment\Technical_Team\Shaft_logging\North_East\East_of_Wear\dawdon
Dawdon	Shaft	24.1	Y	East_of_Wear	443580	547810	Shaft	ECT_Log_2005	2005	2005	11.3	16.7	23.1									Log_from_-6.955_to_-483.853_mAOD_	\\infprod.TCA\shared_folders\Environment\Technical_Team\Shaft_logging\North_East\East_of_Wear\dawdon
Dawdon	Shaft	24.1	Y	East_of_Wear	443580	547810	Shaft	ECT_Log_2004	2004	2004	11.4	16.9	23.1									Log_from_-25.13_to_-483.93_mAOD	\\infprod.TCA\shared_folders\Environment\Technical_Team\Shaft_logging\North_East\East_of_Wear\dawdon
Dawdon	Shaft	24.1	Y	East_of_Wear	443580	547810	Shaft	ECT_Log_2006	2006	2006	11.1	16.5	23.0									Log_from_-38.91_to_-509.88_mAOD	\\infprod.TCA\shared_folders\Environment\Technical_Team\Shaft_logging\North_East\East_of_Wear\dawdon
Dawdon	Shaft	24.1	Y	East_of_Wear	443580	547810	Shaft	ECT_Log_2003	2003	2003	12.0	16.9	23.0									Log_from_-27.03_to_-483.93_mAOD	\\infprod.TCA\shared_folders\Environment\Technical_Team\Shaft_logging\North_East\East_of_Wear\dawdon
Dawdon	Shaft	24.1	Y	East_of_Wear	443580	547810	Shaft	ECT_Log_2008	2008	2008	11.2	16.4	22.7									Log_from_-40.33_to_-464.91_mAOD	\\infprod.TCA\shared_folders\Environment\Technical_Team\Shaft_logging\North_East\East_of_Wear\dawdon
Douglas_Discharge	Rigside_Day_Level	571.1	Y	Scotland	286721	635603	Discharge	Temperature_Logger	07-Feb-17	03-Nov-17	8.0	10.4	11.5										J:\Environment\Technical_Team\STS_Coal_Loggers\Douglas_L571
Easthouses	Great_Seam_Borehole_	787.1	Y	Scotland	334193	665977	Shaft_	ETC_Log_2019_	11-Jul-19	11-Jul-19	9.8	11.3	15.9									Range_of_log_from_46.5mbgl_to_229.2mbgl	\\infprod.tca\shared_folders\Environment_Media\Mine_Water_CCTV_Survey\CCTV_Shafts_and_Boreholes\Easthouses_BH\Easthouses_Great_Seam_BH_20190711
Easthouses																							
Elginhaugh	Discharge			Scotland			Discharge	On_Site_Testing	09-Jul-95	09-Jul-95		13.8									6	Long-term_changes_in_the_quality_of_polluted_minewater_discharges_-_Scotland	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Fordell_Upper_Discharge	Discharge	588.1	Y	Scotland	314815	685510	Discharge	Water_level_logger	11-Apr-16	08-Aug-18	10.0	10.9	11.5										J:\Environment\Technical_Team\STS_Coal_Loggers\Fordell_Upper_Discharge_L588
Frances	Cascade	163.15	Y	Scotland	330940	694010	Pumped	Temperature_logger	19-Oct-16	10-Jun-19	7.7	11.2	19.8	180	N/A	1	60	4303	622	1446	6	Data_taken_from_21/05/2017_onwards_as_previous_data_contained_errors_-_ensure_shaft_logger_163.1_seperated_from_cascade_data	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Frances_Cascade
Frances	Shaft	163.1	Y	Scotland	330986	693887	Pumped_Passive_	Logger_Data	19-Aug-16	23-Jul-18	14.0	14.2	14.5										\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Logger_Data\Frances_(L163)\Frances_Shaft
Glenbuck	Discharge	720.1	Y	Scotland	234520	627652	Gravity_Discharge	On_Site_Testing	31-Aug-06	31-Aug-06		10.4									7	Single_on_site_reading	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
