DEPTH.M	:	0	Depth			
TEMP.DegC	:	1	Temperature			
CN25.mS/cm	:	2	Conductivity@25DegC			
COND.mS/cm	:	3	Conductivity			
DELT.DegC	:	4	Delta	T		
DELC.mS/cm	:	5	Delta	C		
NGAM.CPS	:	6	Natural	Gamma		

DEPTH	TEMP	CN25	COND	DELT	DELC	NGAM
48.7	11.94	7.98	1.2	1.92	-1.27	0
48.71	11.94	7.98	1.2	1.92	-1.27	0.41
48.72	11.94	7.98	1.2	1.92	-1.27	0.41
48.73	11.94	7.98	1.2	1.92	-1.27	0.41
48.74	11.94	7.98	1.2	1.92	-1.28	0.41
48.75	11.94	7.98	1.2	1.92	-1.27	0.41
48.76	11.95	7.98	1.2	1.92	-1.28	0.41
48.77	11.95	7.98	1.2	1.93	-1.28	0.41
48.78	11.95	7.98	1.2	1.92	-1.28	0.41
48.79	11.95	7.97	1.2	1.92	-1.28	0.41
48.8	11.95	7.97	1.2	1.92	-1.28	0.41
48.81	11.95	7.97	1.2	1.93	-1.28	0.41
48.82	11.95	7.97	1.2	1.93	-1.28	0.41
48.83	11.95	7.97	1.2	1.93	-1.28	0.41
48.84	11.95	7.97	1.2	1.93	-1.28	0.41
48.85	11.95	7.97	1.2	1.93	-1.28	0.41
48.86	11.95	7.97	1.2	1.93	-1.28	0.41
48.87	11.96	7.97	1.2	1.93	-1.28	0.41
48.88	11.96	7.97	1.2	1.93	-1.28	0
48.89	11.96	7.97	1.2	1.93	-1.29	0
48.9	11.96	7.96	1.2	1.94	-1.32	0
48.91	11.96	7.96	1.2	1.94	-1.34	0
48.92	11.96	7.96	1.2	1.94	-1.38	0
48.93	11.96	7.96	1.2	1.94	-1.44	0
48.94	11.96	7.96	1.2	1.93	-1.49	0
48.95	11.96	7.96	1.2	1.93	-1.55	0
48.96	11.96	7.96	1.2	1.91	-1.58	0
48.97	11.96	7.96	1.2	1.89	-1.62	0
48.98	11.97	7.96	1.2	1.87	-1.65	0
48.99	11.97	7.96	1.2	1.84	-1.68	0
