Site,Measurement location,Coal,Region,Easting,Northing,grid ref,Type of site,Type of measurement,Start Date,End Date,Minimum Temperature ( C),Average Temperature  ( C) ,Maximum Temperature ( C),Gradient,Approx. Ave. Flow Rate (L/s),Water level (mAOD),Approx. Depth to water (mBGL),Approx. Depth of Sensor (mBGL),Comments
Horden,Shaft,Y,North East,444225,541858,NZ4422541858,Pumped,Logger data,10-août-16,08-mai-19,12.0,12.8,14.1,,,13,77,,Logger data available for pre-2016 but only looked at last years worth of data (small periods of data missing - highlighted in yellow)
Horden,Cascade,Y,North East,444370,542030,NZ4437042030,Pumped,Temperature logger,26-mai-16,24-avr-19,5.3,16.3,17.7,,40,,N/A,,Cascade is located XXXm from shaft. Pipeline is part buried part above ground. Pump at approx XXXmBGL. Depth of shaft is XXXm
Joppa Day Level,Weir,Y,Scotland,331500,673512,NT3150073512,Discharge,Water Level Logger,03-août-16,10-mars-17,4.9,14.3,14.4,,,,,2,
Kames,No 1 Shaft ,Y,Scotland,268481,626239,NS6848126239,Passive,Temperature Logger,17-nov-09,03-févr-12,8.0,13.0,13.3,,,,,,
Karva,Borehole ,Y,East Midlands ,,,,Shaft ,Temperature logger ,06-sept-18,12-juil-19,8.9,11.7,14.6,,,,39,,Data taken from 26/9/18 onwards as previous data contained errors
Kimblesworth,Pumping Shaft,,Scotland,428059,547270,SZ2805900015,Logger,,,,,13.4,,,,17,70.8,,
Kingshill,Raw Pipe Outflow (Point A),Y,Scotland,285512,657314,NS8551257314,Discharge,On Site Testing,19-août-09,19-août-09,,13.9,,,,,,,
Langton,Shaft,Y,East Midlands,447468,355059,SK4746855059,Shaft,ECT Log 2013,05-nov-13,05-nov-13,10.6,18.5,20.9,0.03,,,76,,Range of log from 101.6mBGL to 425.0mBGL. Steps
Langton ,No.7 Shaft,Y,East Midlands ,447468,355059,SK4746855059,Shaft ,Water level logger,5th May 2016,16-juil-19,11.9,13.3,14.9,,,42,66,,
Langwith,Shaft,Y,East Midlands,452915,370692,SK5291570692,Shaft,ECT Log 2017,17-mai-17,17-mai-17,18.2,19.7,19.8,-,,,,,Range of log from 219.1mBGL to 269.1mBGL. Short straight profile
Lathallan Milll,Upwelling Discharge,Y,Scotland,346460,706300,NO4646006300,Discharge,On Site Testing,09-juil-95,09-juil-95,,11.3,,,16,,,,Long-term changes in the quality of polluted minewater discharges (1995)
Leacroft ,Monitoring Borehole,Y,West Midlands ,400028,309714,SK0002809714,Borehole ,ETC Log 2019 ,27-juin-19,27-juin-19,11.3,13.0,14.8,0.05,,,77,,Range of log from 5.01mbgl to 148.37mbgl - Min T at water level
Leven 4 BH,Borehole water level,Y,Scotland,336451,699870,NT3645199870,Monitoring borehole,Water Level Logger,10-févr-11,10-mai-12,11.7,11.9,15.4,,,12.0,16,,Range of Log from 10.61 to 12.75mAOD
Leven 4 BH,BH,,Scotland,336451,699870,SY3645100005,,,,,,13.0,,,,5,23,,
Littleton ,Monitoring Borehole,Y,West Midlands ,397028,312532,SJ9702812532,Borehole ,ETC Log 2019 ,26-juin-19,26-juin-19,10.4,11.5,14.0,0.04,,,,,Range of log from 122.5mbgl to 202.16mbgl. Min T at 139.45 m. 13.02degC at bottom (202.16m)
Lynemouth,Shaft,Y,North East,429829,590469,NZ2982990469,Pumped,On Site Testing,09-déc-16,17-oct-17,14.5,15.1,15.4,,100,,57,,Pumped water. Depth of pumps at approx XXXmBGL. Depth of shaft is XXXm. Data for May to July 2017 inclusive is missing from statistical analysis
Lynemouth No1 Shaft,Shaft,Y,North East,429829,590469,NZ2982990469,Shaft,ECT Log 2010,27-juil-10,27-juil-10,12.2,13.1,16.6,-,,,106,,Range of log from 102.2mBGL to 143.1mBGL
Michael,Shaft,Y,Scotland,333568,696104,NT3356896104,Pumped,On Site Testing,,,,,,,50,,10,,
Monckton Coke Works BH,Borehole Log,Y,Scotland,,,,Monitoring borehole,ECT Log 2012,26-juil-12,26-juil-12,17.0,18.6,20.4,0.04,,,275,,Range of log from 300.3mBGL and 379.0mBGL. Min T at water level
Morlais ,Shaft discharge,Y,South Wales,257225,202234,SN5722502234,Pumped,Temperature logger,24-mai-16,10-juil-19,4.4,13.8,19.7,,,,,,Data Taken from 04/07/2016 to 24/09/2018
Mosside BH,Borehole,Y,Scotland,297800,667000,NS9780067000,Monitoring borehole,Water Level Logger,01-avr-17,02-févr-18,4.8,9.5,10.5,,,,2,,
Niddrie,Borehole Log,Y,Scotland,330720,671326,,Borehole,ECT Log 2015,,,10.3,12.4,13.9,0.09,,,23.6,,Range of log from 22.5mbgl to 64.45mbgl 
Niddrie (Wisp) BH,Borehole,Y,Scotland,330720,671326,NT3072071326,Monitoring borehole,Water Level Logger,27-oct-16,04-juil-18,10.5,11.9,12.3,,,,,,Range of log from 28.02 to 30.3mAOD
Pegswood Busty BH,Borehole water level,Y,#REF!,#REF!,#REF!,NZ2394787378,Monitoring borehole,Water level logger,11-août-16,19-déc-19,13.0,13.1,13.7,,N/A,,80,,Borehole to Busty Seam workings at XXmBGL. Casing ID is XXXmm
Pennyvennie No.3,,,,248655,606625,NS4865506625,,On Site Testing,10/07/1995,10/07/1995,,14.3,,,6,,,,
Polkemmet No1 Shaft,Shaft,Y,Scotland,293410,663992,NS9341063992,Shaft,Logger data,29-sept-16,02-juil-19,15.5,18.4,18.7,,,,63,,Logger data available for pre-2016 but only looked at last years worth of data
Randolph BH,Borehole water level,Y,Scotland,330442,695632,NT3044295632,Monitoring borehole,Water Level Logger,11-déc-17,,12.2,12.3,12.4,,,,60,,Range of Log from 1.86 to 2.62mAOD
Rawdon,Shaft,,East Midlands,431265,316256,SK 31265 16256,Monitoring shaft,,03/07/1905,05/07/1905,,11.3,,,,78,,,
Rigside BH,Borehole,Y,Scotland,286850,635552,NS8685035552,Monitoring borehole,Water Level Logger,10-janv-17,29-nov-17,5.3,10.5,14.0,,,,28,,
Saltburn,Pumping borehole,,,,,,Pumped,On Site Testing,,,,,,,30,,,,
Silverdale ,Top of Cascade,Y,West Midlands ,382060,346770,SJ8206046770,Pumped,Temperature logger,24-juil-18,12-juin-19,15.0,15.1,15.9,,,,,,Data taken from 29/10/2018 to 30/10/2018
Six Bells (Vivian),Cascade,Y,South Wales,321830,203635,SO2183003635,Pumped,Temperature logger,24-mai-16,28-juin-19,-6.0,18.5,28.1,,,,,,Logger data missing from Sept 2018 to April 2019
Six Bells (Vivian),Pumping borehole,Y,South Wales,321951,203548,SO2195103548,Pumped,Logger data,16-nov-16,02-oct-17,14.8,17.2,18.2,,,,30,,Logger data available for pre-2016 but only looked at last years worth of data
Star Road,Discharge,,Scotland,329600,702500,NO2960002500,Discharge,On Site Testing,09-juil-95,09-juil-95,,11.4,,,3,,,,Long-term changes in the quality of polluted minewater discharges (1995)
Stony Heap,Borehole,Y,North East,414785,551565,NZ1478551565,Borehole,Weir Logger,20-août-13,06-janv-15,1.7,9.8,20.2,,,,,,Variations reflect air temperature?
Stony Heap,Borehole,Y,North East,414785,551565,NZ1478551565,Borehole,ECT Log 2009,17-déc-09,17-déc-09,9.2,9.9,10.9,0.01,,,12,,Range of log from 12.2mBGL to 134.0mBGL
Taff Merthyr,Raw Mine Water,Y,South Wales ,310290,199020,ST1029099020,Pumped,Temperature logger,24-mai-16,31-mai-19,9.1,11.9,19.1,,,,,,Data taken from 13/06/2016 to 31/05/2019 as other data contained errors 
Tollcross Burn,Borehole,Y,Scotland,267400,664900,NS6740064900,Monitoring borehole,On Site Testing,20-août-08,20-août-08,,11.4,,,30,,,,
West Cannock No 5 ,Seam Borehole ,Y,West Midlands ,400951,314158,SK0095114158,Borehole ,ETC Log 2019 ,25-juin-19,25-juin-19,10.5,12.1,14.8,0.03,,,140,,Range of log from 132.51mbgl to 260mbgl. Min T at 152.79m. Bottom temperature (260.49) is 13.866 degC
West Cannock No 5 ,Aquifer Borehole ,Y,West Midlands ,401033,314133,SK0103314133,Borehole ,ETC Log 2019 ,25-juin-19,25-juin-19,10.2,10.2,10.4,-0.02,,155,26,,Range of log from 2.12mbgl to 39.89mbgl. Min/Max T taken from water level (27.00m). Min T at 37.92m and Max T at 27m.
Whitrigg BH,Borehole,Y,Scotland,297500,664900,NS9750064900,Monitoring borehole,Water Level Logger,10-févr-17,02-févr-18,5.3,10.6,11.3,,,,80,,
Williamthorpe,Shaft,Y,East Midlands,442738,366611,SK4273866611,Shaft,ECT Log 2017,17-mai-17,17-mai-17,11.5,12.3,12.7,-,,,,,Range of log from 136.0mBGL to 328.3mBGL. Steps.Tmin at 172.15m
Wilsontown (Mousewater) ,Raw Discharge,Y,Scotland,294870,653248,NS9487053248,Passive,Temperature Logger,17-nov-09,15-juil-10,1.4,7.3,18.0,,,,,,
Woodside ,Shaft,Y,East Midlands,444765,344463,SK4476544463,Shaft,Logger data,18-sept-17,10-janv-19,7.6,12.1,16.4,,,,81,,
Woodside ,Shaft,Y,East Midlands,444765,344463,SK4476544463,Shaft,ECT Log 2010,07-janv-10,07-janv-10,7.0,13.7,16.5,-,,,78,,Range of log from 77.6mBGL to 245.7mBGL. Steps
Woolley  ,Stepped Cascade Top Inlet,Y,Yorkshire ,430572,411510,SE3057211510,Pumped ,Temperature logger,25-juil-18,31-janv-19,14.9,15.9,18.7,,,,,,Data taken from 25/07/2018 onwards as previous data contained errors
