Scotland_W Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1992    6.2    7.2    8.0    9.5   15.5   17.9   16.5   15.5   13.6    9.1    8.1    5.4    6.85  11.04  16.62  10.27   11.06
1993    6.8    7.3    7.9   10.7   13.0   15.9   15.3   15.5   14.1    9.6    6.5    5.2    6.50  10.55  15.57  10.06   10.67
1994    5.7    4.0    7.3    9.4   13.0   14.4   17.9   16.3   13.8   11.3   10.5    7.4    5.02   9.93  16.20  11.87   10.97
1995    5.6    6.5    6.0   10.5   13.3   17.1   19.0   20.9   15.1   13.6    9.3    3.7    6.50   9.93  19.03  12.64   11.75
1996    5.8    4.9    6.1   10.0   11.4   15.8   16.8   17.7   15.9   12.4    6.9    4.9    4.82   9.17  16.80  11.72   10.74
1997    5.0    7.3    9.3   11.2   13.8   15.7   18.3   19.6   15.0   11.8    9.5    7.3    5.68  11.45  17.87  12.12   12.02
1998    6.5    9.0    8.9    9.3   14.5   15.1   15.9   16.4   15.8   10.9    8.1    7.7    7.55  10.91  15.82  11.58   11.52
1999    6.1    6.3    8.3   11.2   14.3   15.2   18.4   17.3   16.2   12.0    9.1    5.5    6.71  11.28  17.00  12.44   11.70
2000    6.9    7.0    9.0    9.6   15.0   15.5   17.6   17.8   15.5   11.4    7.7    6.2    6.48  11.22  16.96  11.55   11.62
2001    4.6    5.8    6.7    9.6   15.8   15.0   17.3   17.3   14.8   13.6    9.5    6.3    5.54  10.71  16.52  12.66   11.39
2002    7.6    7.4    9.1   11.2   13.8   15.3   16.3   18.2   16.1   10.6    9.1    6.0    7.11  11.38  16.61  11.89   11.75
2003    5.8    6.3   10.2   13.0   13.1   17.1   18.8   19.3   15.7   11.1    9.8    6.9    6.03  12.10  18.41  12.21   12.30
