Scotland_E Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
2007    1.3    0.8    1.5    4.1    4.7    8.3    9.0    8.8    6.8    5.0    2.9   -0.8    0.95   3.41   8.70   4.90    4.37
2008    0.2    0.1    0.1    1.7    5.8    7.1   10.4   10.4    7.8    3.3    1.4   -1.0   -0.18   2.52   9.32   4.17    3.95
2009   -1.0   -0.1    1.1    3.3    4.6    7.6    9.8   10.1    8.3    5.6    2.3   -3.2   -0.75   3.01   9.17   5.39    4.04
2010   -3.0   -3.1   -0.2    2.3    3.7    8.1    9.7    8.5    7.6    4.6   -0.2   -6.1   -3.09   1.94   8.77   4.00    2.69
2011   -1.2    0.4    0.7    4.1    4.9    6.7    8.3    8.7    8.3    6.6    4.5   -0.3   -2.38   3.25   7.94   6.48    4.34
2012   -0.2    0.9    2.5    1.1    3.9    6.9    8.8    9.5    6.7    2.3    1.1   -0.6    0.11   2.55   8.43   3.34    3.59
2013   -0.1   -1.3   -2.0    0.9    4.3    7.3   10.8    9.9    7.4    6.5    0.2    1.8   -0.66   1.05   9.34   4.71    3.84
2014    0.8    1.1    2.0    3.9    6.0    9.1    9.6    8.2    8.7    5.9    3.6   -0.6    1.25   3.99   9.00   6.06    4.89
2015   -0.7   -0.6    0.8    1.4    3.7    6.7    8.6    9.1    6.6    4.5    2.9    2.2   -0.60   1.98   8.14   4.65    3.80
2016    0.2   -1.3    0.7    1.2    5.3    8.2    9.6    9.6    9.3    4.5   -0.5    2.0    0.41   2.40   9.13   4.43    4.08
2017   -0.2    0.9    1.5    2.7    5.8    8.9    9.3    8.9    7.8    6.4    0.8   -0.6    0.91   3.33   9.05   5.04    4.39
2018   -0.8   -1.6   -0.7    2.7    5.5    8.1   10.4    9.3    6.8    4.3    3.5    0.8   -0.96   2.49   9.30   4.85    4.06
2019   -1.0    0.7    2.1    2.8    4.3    7.6   11.0   10.3    7.6    3.7    1.1           0.13   3.04   9.65   4.11
