x,T,,,,,,
5.23E-01,6.67E-06,,,,,,
5.24E-01,6.30E-06,,,,,,
5.25E-01,5.94E-06,,,,,,
5.26E-01,5.61E-06,,,,,,
5.27E-01,5.29E-06,,,,,,
5.28E-01,4.99E-06,,,,,,
5.29E-01,4.71E-06,,,,,,
5.30E-01,4.45E-06,,,,,,
5.31E-01,4.19E-06,,,,,,
5.32E-01,3.96E-06,,,,,,
5.33E-01,3.73E-06,,,,,,
5.34E-01,3.52E-06,,,,,,
5.35E-01,3.32E-06,,,,,,
5.36E-01,3.13E-06,,,,,,
5.37E-01,2.95E-06,,,,,,
5.38E-01,2.78E-06,,,,,,
5.39E-01,2.62E-06,,,,,,
5.40E-01,2.47E-06,,,,,,
5.41E-01,2.33E-06,,,,,,
5.42E-01,2.19E-06,,,,,,
5.43E-01,2.07E-06,,,,,,
5.44E-01,1.95E-06,,,,,,
5.45E-01,1.83E-06,,,,,,
5.46E-01,1.73E-06,,,,,,
5.47E-01,1.63E-06,,,,,,
5.48E-01,1.53E-06,,,,,,
5.49E-01,1.44E-06,,,,,,
5.50E-01,1.36E-06,,,,,,
5.51E-01,1.28E-06,,,,,,
5.52E-01,1.20E-06,,,,,,
5.53E-01,1.13E-06,,,,,,
5.54E-01,1.07E-06,,,,,,
5.55E-01,1.00E-06,,,,,,
5.56E-01,9.43E-07,,,,,,
5.57E-01,8.87E-07,,,,,,
5.58E-01,8.35E-07,,,,,,
5.59E-01,7.85E-07,,,,,,
5.60E-01,7.38E-07,,,,,,
5.61E-01,6.94E-07,,,,,,
5.62E-01,6.53E-07,,,,,,
5.63E-01,6.14E-07,,,,,,
5.64E-01,5.77E-07,,,,,,
5.65E-01,5.42E-07,,,,,,
5.66E-01,5.10E-07,,,,,,
5.67E-01,4.79E-07,,,,,,
5.68E-01,4.50E-07,,,,,,
5.69E-01,4.23E-07,,,,,,
5.70E-01,3.97E-07,,,,,,
5.71E-01,3.73E-07,,,,,,
5.72E-01,3.51E-07,,,,,,
5.73E-01,3.29E-07,,,,,,
5.74E-01,3.09E-07,,,,,,
5.75E-01,2.90E-07,,,,,,
5.76E-01,2.73E-07,,,,,,
5.77E-01,2.56E-07,,,,,,
5.78E-01,2.40E-07,,,,,,
5.79E-01,2.26E-07,,,,,,
5.80E-01,2.12E-07,,,,,,
5.81E-01,1.99E-07,,,,,,
5.82E-01,1.86E-07,,,,,,
5.83E-01,1.75E-07,,,,,,
5.84E-01,1.64E-07,,,,,,
5.85E-01,1.54E-07,,,,,,
5.86E-01,1.44E-07,,,,,,
5.87E-01,1.35E-07,,,,,,
5.88E-01,1.27E-07,,,,,,
5.89E-01,1.19E-07,,,,,,
5.90E-01,1.12E-07,,,,,,
5.91E-01,1.05E-07,,,,,,
5.92E-01,9.81E-08,,,,,,
5.93E-01,9.19E-08,,,,,,
5.94E-01,8.62E-08,,,,,,
5.95E-01,8.07E-08,,,,,,
5.96E-01,7.56E-08,,,,,,
5.97E-01,7.09E-08,,,,,,
5.98E-01,6.64E-08,,,,,,
5.99E-01,6.22E-08,,,,,,
6.00E-01,5.82E-08,,,,,,
6.01E-01,5.45E-08,,,,,,
6.02E-01,5.11E-08,,,,,,
6.03E-01,4.78E-08,,,,,,
6.04E-01,4.48E-08,,,,,,
6.05E-01,4.19E-08,,,,,,
6.06E-01,3.92E-08,,,,,,
6.07E-01,3.67E-08,,,,,,
6.08E-01,3.44E-08,,,,,,
6.09E-01,3.21E-08,,,,,,
6.10E-01,3.01E-08,,,,,,
6.11E-01,2.81E-08,,,,,,
6.12E-01,2.63E-08,,,,,,
6.13E-01,2.46E-08,,,,,,
6.14E-01,2.30E-08,,,,,,
6.15E-01,2.15E-08,,,,,,
6.16E-01,2.01E-08,,,,,,
6.17E-01,1.88E-08,,,,,,
