x,T,,,
4.08E-01,2.36E-06,,,
4.09E-01,2.26E-06,,,
4.10E-01,2.17E-06,,,
4.11E-01,2.08E-06,,,
4.12E-01,2.00E-06,,,
4.13E-01,1.92E-06,,,
4.14E-01,1.84E-06,,,
4.15E-01,1.76E-06,,,
4.16E-01,1.69E-06,,,
4.17E-01,1.62E-06,,,
4.18E-01,1.56E-06,,,
4.19E-01,1.49E-06,,,
4.20E-01,1.43E-06,,,
4.21E-01,1.37E-06,,,
4.22E-01,1.31E-06,,,
4.23E-01,1.26E-06,,,
4.24E-01,1.21E-06,,,
4.25E-01,1.15E-06,,,
4.26E-01,1.11E-06,,,
4.27E-01,1.06E-06,,,
4.28E-01,1.01E-06,,,
4.29E-01,9.71E-07,,,
4.30E-01,9.30E-07,,,
4.31E-01,8.90E-07,,,
4.32E-01,8.52E-07,,,
4.33E-01,8.16E-07,,,
4.34E-01,7.81E-07,,,
4.35E-01,7.47E-07,,,
4.36E-01,7.15E-07,,,
4.37E-01,6.84E-07,,,
4.38E-01,6.54E-07,,,
4.39E-01,6.26E-07,,,
4.40E-01,5.99E-07,,,
4.41E-01,5.72E-07,,,
4.42E-01,5.47E-07,,,
4.43E-01,5.23E-07,,,
4.44E-01,5.00E-07,,,
4.45E-01,4.78E-07,,,
4.46E-01,4.57E-07,,,
4.47E-01,4.37E-07,,,
4.48E-01,4.17E-07,,,
4.49E-01,3.99E-07,,,
4.50E-01,3.81E-07,,,
4.51E-01,3.64E-07,,,
4.52E-01,3.48E-07,,,
4.53E-01,3.32E-07,,,
4.54E-01,3.17E-07,,,
4.55E-01,3.03E-07,,,
4.56E-01,2.89E-07,,,
4.57E-01,2.76E-07,,,
4.58E-01,2.63E-07,,,
4.59E-01,2.51E-07,,,
4.60E-01,2.40E-07,,,
4.61E-01,2.29E-07,,,
4.62E-01,2.18E-07,,,
4.63E-01,2.08E-07,,,
4.64E-01,1.99E-07,,,
4.65E-01,1.89E-07,,,
4.66E-01,1.81E-07,,,
4.67E-01,1.72E-07,,,
4.68E-01,1.64E-07,,,
4.69E-01,1.56E-07,,,
4.70E-01,1.49E-07,,,
4.71E-01,1.42E-07,,,
4.72E-01,1.35E-07,,,
4.73E-01,1.29E-07,,,
4.74E-01,1.23E-07,,,
4.75E-01,1.17E-07,,,
4.76E-01,1.12E-07,,,
4.77E-01,1.06E-07,,,
4.78E-01,1.01E-07,,,
4.79E-01,9.64E-08,,,
4.80E-01,9.18E-08,,,
4.81E-01,8.74E-08,,,
4.82E-01,8.32E-08,,,
4.83E-01,7.92E-08,,,
4.84E-01,7.54E-08,,,
4.85E-01,7.17E-08,,,
4.86E-01,6.82E-08,,,
4.87E-01,6.49E-08,,,
4.88E-01,6.18E-08,,,
4.89E-01,5.88E-08,,,
4.90E-01,5.59E-08,,,
4.91E-01,5.31E-08,,,
4.92E-01,5.05E-08,,,
4.93E-01,4.80E-08,,,
4.94E-01,4.57E-08,,,
4.95E-01,4.34E-08,,,
4.96E-01,4.13E-08,,,
4.97E-01,3.92E-08,,,
4.98E-01,3.73E-08,,,
4.99E-01,3.54E-08,,,
5.00E-01,3.36E-08,,,
5.01E-01,3.20E-08,,,
5.02E-01,3.04E-08,,,
5.03E-01,2.88E-08,,,
5.04E-01,2.74E-08,,,
5.05E-01,2.60E-08,,,
5.06E-01,2.47E-08,,,
5.07E-01,2.34E-08,,,
5.08E-01,2.22E-08,,,
5.09E-01,2.11E-08,,,
5.10E-01,2.00E-08,,,
5.11E-01,1.90E-08,,,
5.12E-01,1.80E-08,,,
5.13E-01,1.71E-08,,,
5.14E-01,1.62E-08,,,
5.15E-01,1.54E-08,,,
5.16E-01,1.46E-08,,,
5.17E-01,1.38E-08,,,
5.18E-01,1.31E-08,,,
5.19E-01,1.24E-08,,,
5.20E-01,1.18E-08,,,
5.21E-01,1.12E-08,,,
5.22E-01,1.06E-08,,,
5.23E-01,1.00E-08,,,
5.24E-01,9.51E-09,,,
5.25E-01,9.01E-09,,,
5.26E-01,8.53E-09,,,
5.27E-01,8.08E-09,,,
5.28E-01,7.66E-09,,,
5.29E-01,7.25E-09,,,
5.30E-01,6.87E-09,,,
5.31E-01,6.50E-09,,,
5.32E-01,6.15E-09,,,
5.33E-01,5.82E-09,,,
5.34E-01,5.51E-09,,,
5.35E-01,5.22E-09,,,
5.36E-01,4.94E-09,,,
5.37E-01,4.67E-09,,,
5.38E-01,4.42E-09,,,
5.39E-01,4.18E-09,,,
5.40E-01,3.95E-09,,,
5.41E-01,3.74E-09,,,
5.42E-01,3.54E-09,,,
5.43E-01,3.34E-09,,,
5.44E-01,3.16E-09,,,
5.45E-01,2.99E-09,,,
5.46E-01,2.82E-09,,,
5.47E-01,2.67E-09,,,
5.48E-01,2.52E-09,,,
5.49E-01,2.38E-09,,,
5.50E-01,2.25E-09,,,
5.51E-01,2.13E-09,,,
5.52E-01,2.01E-09,,,
5.53E-01,1.90E-09,,,
5.54E-01,1.79E-09,,,
5.55E-01,1.69E-09,,,
5.56E-01,1.60E-09,,,
5.57E-01,1.51E-09,,,
5.58E-01,1.42E-09,,,
5.59E-01,1.34E-09,,,
5.60E-01,1.27E-09,,,
5.61E-01,1.20E-09,,,
5.62E-01,1.13E-09,,,
5.63E-01,1.07E-09,,,
5.64E-01,1.01E-09,,,
5.65E-01,9.48E-10,,,
5.66E-01,8.95E-10,,,
5.67E-01,8.44E-10,,,
5.68E-01,7.95E-10,,,
5.69E-01,7.50E-10,,,
5.70E-01,7.07E-10,,,
5.71E-01,6.66E-10,,,
5.72E-01,6.28E-10,,,
5.73E-01,5.92E-10,,,
5.74E-01,5.58E-10,,,
5.75E-01,5.26E-10,,,
5.76E-01,4.95E-10,,,
5.77E-01,4.66E-10,,,
5.78E-01,4.39E-10,,,
