t,T
3.88E+02,5.29E-07
3.89E+02,5.46E-07
3.90E+02,5.64E-07
3.91E+02,5.83E-07
3.92E+02,6.01E-07
3.93E+02,6.20E-07
3.94E+02,6.40E-07
3.95E+02,6.60E-07
3.96E+02,6.81E-07
3.97E+02,7.03E-07
3.98E+02,7.24E-07
3.99E+02,7.47E-07
4.00E+02,7.70E-07
4.01E+02,7.93E-07
4.02E+02,8.18E-07
4.03E+02,8.42E-07
4.04E+02,8.68E-07
4.05E+02,8.94E-07
4.06E+02,9.20E-07
4.07E+02,9.47E-07
4.08E+02,9.75E-07
4.09E+02,1.00E-06
4.10E+02,1.03E-06
4.11E+02,1.06E-06
4.12E+02,1.09E-06
4.13E+02,1.13E-06
4.14E+02,1.16E-06
4.15E+02,1.19E-06
4.16E+02,1.22E-06
4.17E+02,1.26E-06
4.18E+02,1.29E-06
4.19E+02,1.33E-06
4.20E+02,1.37E-06
4.21E+02,1.40E-06
4.22E+02,1.44E-06
4.23E+02,1.48E-06
4.24E+02,1.52E-06
4.25E+02,1.56E-06
4.26E+02,1.60E-06
4.27E+02,1.65E-06
4.28E+02,1.69E-06
4.29E+02,1.73E-06
4.30E+02,1.78E-06
4.31E+02,1.83E-06
4.32E+02,1.87E-06
4.33E+02,1.92E-06
4.34E+02,1.97E-06
4.35E+02,2.02E-06
4.36E+02,2.07E-06
4.37E+02,2.13E-06
4.38E+02,2.18E-06
4.39E+02,2.23E-06
4.40E+02,2.29E-06
4.41E+02,2.35E-06
4.42E+02,2.41E-06
4.43E+02,2.46E-06
4.44E+02,2.52E-06
4.45E+02,2.59E-06
4.46E+02,2.65E-06
4.47E+02,2.71E-06
4.48E+02,2.78E-06
4.49E+02,2.84E-06
4.50E+02,2.91E-06
4.51E+02,2.98E-06
4.52E+02,3.05E-06
4.53E+02,3.12E-06
4.54E+02,3.19E-06
4.55E+02,3.27E-06
4.56E+02,3.34E-06
4.57E+02,3.42E-06
4.58E+02,3.50E-06
4.59E+02,3.58E-06
4.60E+02,3.66E-06
4.61E+02,3.74E-06
4.62E+02,3.82E-06
4.63E+02,3.91E-06
4.64E+02,4.00E-06
4.65E+02,4.09E-06
4.66E+02,4.17E-06
4.67E+02,4.27E-06
4.68E+02,4.36E-06
4.69E+02,4.45E-06
4.70E+02,4.55E-06
4.71E+02,4.65E-06
4.72E+02,4.75E-06
4.73E+02,4.85E-06
4.74E+02,4.95E-06
4.75E+02,5.05E-06
4.76E+02,5.16E-06
4.77E+02,5.27E-06
4.78E+02,5.38E-06
4.79E+02,5.49E-06
4.80E+02,5.60E-06
4.81E+02,5.72E-06
4.82E+02,5.83E-06
4.83E+02,5.95E-06
4.84E+02,6.07E-06
4.85E+02,6.19E-06
4.86E+02,6.32E-06
4.87E+02,6.44E-06
4.88E+02,6.57E-06
4.89E+02,6.70E-06
4.90E+02,6.83E-06
4.91E+02,6.97E-06
4.92E+02,7.10E-06
4.93E+02,7.24E-06
4.94E+02,7.38E-06
4.95E+02,7.52E-06
4.96E+02,7.67E-06
4.97E+02,7.81E-06
4.98E+02,7.96E-06
4.99E+02,8.11E-06
5.00E+02,8.26E-06
5.01E+02,8.42E-06
5.02E+02,8.58E-06
5.03E+02,8.74E-06
5.04E+02,8.90E-06
5.05E+02,9.06E-06
5.06E+02,9.23E-06
5.07E+02,9.39E-06
5.08E+02,9.57E-06
5.09E+02,9.74E-06
5.10E+02,9.91E-06
5.11E+02,1.01E-05
5.12E+02,1.03E-05
5.13E+02,1.05E-05
5.14E+02,1.06E-05
5.15E+02,1.08E-05
5.16E+02,1.10E-05
5.17E+02,1.12E-05
5.18E+02,1.14E-05
5.19E+02,1.16E-05
5.20E+02,1.18E-05
5.21E+02,1.20E-05
5.22E+02,1.22E-05
5.23E+02,1.24E-05
5.24E+02,1.26E-05
5.25E+02,1.28E-05
5.26E+02,1.31E-05
5.27E+02,1.33E-05
5.28E+02,1.35E-05
5.29E+02,1.37E-05
5.30E+02,1.39E-05
5.31E+02,1.42E-05
5.32E+02,1.44E-05
5.33E+02,1.46E-05
5.34E+02,1.49E-05
5.35E+02,1.51E-05
5.36E+02,1.54E-05
5.37E+02,1.56E-05
5.38E+02,1.59E-05
5.39E+02,1.61E-05
5.40E+02,1.64E-05
5.41E+02,1.66E-05
5.42E+02,1.69E-05
5.43E+02,1.72E-05
5.44E+02,1.74E-05
5.45E+02,1.77E-05
5.46E+02,1.80E-05
5.47E+02,1.82E-05
5.48E+02,1.85E-05
5.49E+02,1.88E-05
5.50E+02,1.91E-05
5.51E+02,1.94E-05
5.52E+02,1.97E-05
5.53E+02,2.00E-05
5.54E+02,2.03E-05
5.55E+02,2.06E-05
5.56E+02,2.09E-05
5.57E+02,2.12E-05
5.58E+02,2.15E-05
5.59E+02,2.18E-05
5.60E+02,2.21E-05
5.61E+02,2.25E-05
5.62E+02,2.28E-05
5.63E+02,2.31E-05
5.64E+02,2.34E-05
5.65E+02,2.38E-05
5.66E+02,2.41E-05
5.67E+02,2.45E-05
5.68E+02,2.48E-05
5.69E+02,2.52E-05
5.70E+02,2.55E-05
5.71E+02,2.59E-05
5.72E+02,2.62E-05
5.73E+02,2.66E-05
5.74E+02,2.70E-05
5.75E+02,2.73E-05
5.76E+02,2.77E-05
5.77E+02,2.81E-05
5.78E+02,2.85E-05
5.79E+02,2.89E-05
5.80E+02,2.93E-05
5.81E+02,2.97E-05
5.82E+02,3.00E-05
5.83E+02,3.05E-05
5.84E+02,3.09E-05
5.85E+02,3.13E-05
5.86E+02,3.17E-05
5.87E+02,3.21E-05
5.88E+02,3.25E-05
5.89E+02,3.29E-05
5.90E+02,3.34E-05
5.91E+02,3.38E-05
5.92E+02,3.42E-05
5.93E+02,3.47E-05
5.94E+02,3.51E-05
5.95E+02,3.56E-05
5.96E+02,3.60E-05
5.97E+02,3.65E-05
5.98E+02,3.69E-05
5.99E+02,3.74E-05
6.00E+02,3.79E-05
6.01E+02,3.84E-05
6.02E+02,3.88E-05
6.03E+02,3.93E-05
6.04E+02,3.98E-05
6.05E+02,4.03E-05
6.06E+02,4.08E-05
6.07E+02,4.13E-05
6.08E+02,4.18E-05
6.09E+02,4.23E-05
6.10E+02,4.28E-05
6.11E+02,4.33E-05
6.12E+02,4.38E-05
6.13E+02,4.44E-05
6.14E+02,4.49E-05
6.15E+02,4.54E-05
6.16E+02,4.60E-05
6.17E+02,4.65E-05
6.18E+02,4.70E-05
6.19E+02,4.76E-05
6.20E+02,4.81E-05
6.21E+02,4.87E-05
6.22E+02,4.93E-05
6.23E+02,4.98E-05
6.24E+02,5.04E-05
6.25E+02,5.10E-05
6.26E+02,5.16E-05
6.27E+02,5.22E-05
6.28E+02,5.27E-05
6.29E+02,5.33E-05
6.30E+02,5.39E-05
6.31E+02,5.45E-05
6.32E+02,5.52E-05
6.33E+02,5.58E-05
6.34E+02,5.64E-05
6.35E+02,5.70E-05
6.36E+02,5.76E-05
6.37E+02,5.83E-05
6.38E+02,5.89E-05
6.39E+02,5.95E-05
6.40E+02,6.02E-05
6.41E+02,6.08E-05
6.42E+02,6.15E-05
6.43E+02,6.22E-05
6.44E+02,6.28E-05
6.45E+02,6.35E-05
6.46E+02,6.42E-05
6.47E+02,6.48E-05
