t,T
4.27E+02,3.99E-04
4.28E+02,4.04E-04
4.29E+02,4.09E-04
4.30E+02,4.14E-04
4.31E+02,4.19E-04
4.32E+02,4.24E-04
4.33E+02,4.29E-04
4.34E+02,4.34E-04
4.35E+02,4.39E-04
4.36E+02,4.44E-04
4.37E+02,4.50E-04
4.38E+02,4.55E-04
4.39E+02,4.60E-04
4.40E+02,4.66E-04
4.41E+02,4.71E-04
4.42E+02,4.77E-04
4.43E+02,4.82E-04
4.44E+02,4.88E-04
4.45E+02,4.93E-04
4.46E+02,4.99E-04
4.47E+02,5.04E-04
4.48E+02,5.10E-04
4.49E+02,5.16E-04
4.50E+02,5.21E-04
4.51E+02,5.27E-04
4.52E+02,5.33E-04
4.53E+02,5.39E-04
4.54E+02,5.44E-04
4.55E+02,5.50E-04
4.56E+02,5.56E-04
4.57E+02,5.62E-04
4.58E+02,5.68E-04
4.59E+02,5.74E-04
4.60E+02,5.80E-04
4.61E+02,5.86E-04
4.62E+02,5.92E-04
4.63E+02,5.98E-04
4.64E+02,6.05E-04
4.65E+02,6.11E-04
4.66E+02,6.17E-04
4.67E+02,6.23E-04
4.68E+02,6.30E-04
4.69E+02,6.36E-04
4.70E+02,6.42E-04
4.71E+02,6.49E-04
4.72E+02,6.55E-04
4.73E+02,6.61E-04
4.74E+02,6.68E-04
4.75E+02,6.74E-04
4.76E+02,6.81E-04
4.77E+02,6.88E-04
4.78E+02,6.94E-04
4.79E+02,7.01E-04
4.80E+02,7.07E-04
4.81E+02,7.14E-04
4.82E+02,7.21E-04
4.83E+02,7.28E-04
4.84E+02,7.34E-04
4.85E+02,7.41E-04
4.86E+02,7.48E-04
4.87E+02,7.55E-04
4.88E+02,7.62E-04
4.89E+02,7.69E-04
4.90E+02,7.76E-04
4.91E+02,7.83E-04
4.92E+02,7.90E-04
4.93E+02,7.97E-04
4.94E+02,8.04E-04
4.95E+02,8.11E-04
4.96E+02,8.18E-04
4.97E+02,8.25E-04
4.98E+02,8.32E-04
4.99E+02,8.40E-04
5.00E+02,8.47E-04
5.01E+02,8.54E-04
5.02E+02,8.62E-04
5.03E+02,8.69E-04
5.04E+02,8.76E-04
5.05E+02,8.84E-04
5.06E+02,8.91E-04
5.07E+02,8.98E-04
5.08E+02,9.06E-04
5.09E+02,9.13E-04
5.10E+02,9.21E-04
5.11E+02,9.29E-04
5.12E+02,9.36E-04
5.13E+02,9.44E-04
5.14E+02,9.51E-04
5.15E+02,9.59E-04
5.16E+02,9.67E-04
5.17E+02,9.74E-04
5.18E+02,9.82E-04
5.19E+02,9.90E-04
5.20E+02,9.98E-04
5.21E+02,1.01E-03
5.22E+02,1.01E-03
5.23E+02,1.02E-03
5.24E+02,1.03E-03
5.25E+02,1.04E-03
5.26E+02,1.04E-03
5.27E+02,1.05E-03
5.28E+02,1.06E-03
5.29E+02,1.07E-03
5.30E+02,1.08E-03
5.31E+02,1.08E-03
5.32E+02,1.09E-03
5.33E+02,1.10E-03
5.34E+02,1.11E-03
5.35E+02,1.12E-03
5.36E+02,1.13E-03
5.37E+02,1.13E-03
5.38E+02,1.14E-03
5.39E+02,1.15E-03
5.40E+02,1.16E-03
5.41E+02,1.17E-03
5.42E+02,1.17E-03
5.43E+02,1.18E-03
5.44E+02,1.19E-03
5.45E+02,1.20E-03
5.46E+02,1.21E-03
5.47E+02,1.22E-03
5.48E+02,1.23E-03
5.49E+02,1.23E-03
5.50E+02,1.24E-03
5.51E+02,1.25E-03
5.52E+02,1.26E-03
5.53E+02,1.27E-03
5.54E+02,1.28E-03
5.55E+02,1.28E-03
5.56E+02,1.29E-03
5.57E+02,1.30E-03
5.58E+02,1.31E-03
5.59E+02,1.32E-03
5.60E+02,1.33E-03
5.61E+02,1.34E-03
5.62E+02,1.35E-03
5.63E+02,1.35E-03
5.64E+02,1.36E-03
5.65E+02,1.37E-03
5.66E+02,1.38E-03
5.67E+02,1.39E-03
5.68E+02,1.40E-03
5.69E+02,1.41E-03
5.70E+02,1.42E-03
5.71E+02,1.42E-03
5.72E+02,1.43E-03
5.73E+02,1.44E-03
5.74E+02,1.45E-03
5.75E+02,1.46E-03
5.76E+02,1.47E-03
5.77E+02,1.48E-03
5.78E+02,1.49E-03
5.79E+02,1.50E-03
5.80E+02,1.51E-03
5.81E+02,1.51E-03
5.82E+02,1.52E-03
5.83E+02,1.53E-03
5.84E+02,1.54E-03
5.85E+02,1.55E-03
5.86E+02,1.56E-03
5.87E+02,1.57E-03
5.88E+02,1.58E-03
5.89E+02,1.59E-03
5.90E+02,1.60E-03
5.91E+02,1.61E-03
5.92E+02,1.62E-03
5.93E+02,1.62E-03
5.94E+02,1.63E-03
5.95E+02,1.64E-03
5.96E+02,1.65E-03
5.97E+02,1.66E-03
5.98E+02,1.67E-03
5.99E+02,1.68E-03
6.00E+02,1.69E-03
6.01E+02,1.70E-03
6.02E+02,1.71E-03
6.03E+02,1.72E-03
6.04E+02,1.73E-03
6.05E+02,1.74E-03
6.06E+02,1.75E-03
6.07E+02,1.76E-03
6.08E+02,1.76E-03
6.09E+02,1.77E-03
6.10E+02,1.78E-03
6.11E+02,1.79E-03
6.12E+02,1.80E-03
6.13E+02,1.81E-03
6.14E+02,1.82E-03
6.15E+02,1.83E-03
6.16E+02,1.84E-03
6.17E+02,1.85E-03
6.18E+02,1.86E-03
6.19E+02,1.87E-03
6.20E+02,1.88E-03
6.21E+02,1.89E-03
6.22E+02,1.90E-03
6.23E+02,1.91E-03
6.24E+02,1.92E-03
6.25E+02,1.93E-03
6.26E+02,1.94E-03
6.27E+02,1.95E-03
6.28E+02,1.96E-03
6.29E+02,1.97E-03
6.30E+02,1.97E-03
6.31E+02,1.98E-03
6.32E+02,1.99E-03
6.33E+02,2.00E-03
6.34E+02,2.01E-03
6.35E+02,2.02E-03
6.36E+02,2.03E-03
6.37E+02,2.04E-03
6.38E+02,2.05E-03
6.39E+02,2.06E-03
6.40E+02,2.07E-03
6.41E+02,2.08E-03
6.42E+02,2.09E-03
6.43E+02,2.10E-03
6.44E+02,2.11E-03
6.45E+02,2.12E-03
6.46E+02,2.13E-03
6.47E+02,2.14E-03
6.48E+02,2.15E-03
6.49E+02,2.16E-03
6.50E+02,2.17E-03
6.51E+02,2.18E-03
6.52E+02,2.19E-03
6.53E+02,2.20E-03
6.54E+02,2.21E-03
6.55E+02,2.22E-03
6.56E+02,2.23E-03
6.57E+02,2.24E-03
6.58E+02,2.25E-03
6.59E+02,2.26E-03
6.60E+02,2.27E-03
6.61E+02,2.28E-03
6.62E+02,2.29E-03
6.63E+02,2.30E-03
6.64E+02,2.31E-03
6.65E+02,2.32E-03
6.66E+02,2.33E-03
6.67E+02,2.34E-03
6.68E+02,2.35E-03
6.69E+02,2.36E-03
6.70E+02,2.37E-03
6.71E+02,2.38E-03
6.72E+02,2.39E-03
6.73E+02,2.40E-03
6.74E+02,2.41E-03
6.75E+02,2.42E-03
6.76E+02,2.43E-03
6.77E+02,2.44E-03
6.78E+02,2.45E-03
6.79E+02,2.46E-03
6.80E+02,2.47E-03
6.81E+02,2.48E-03
6.82E+02,2.49E-03
6.83E+02,2.50E-03
6.84E+02,2.51E-03
6.85E+02,2.52E-03
6.86E+02,2.53E-03
6.87E+02,2.54E-03
6.88E+02,2.55E-03
6.89E+02,2.56E-03
6.90E+02,2.57E-03
6.91E+02,2.58E-03
6.92E+02,2.59E-03
6.93E+02,2.60E-03
6.94E+02,2.61E-03
6.95E+02,2.62E-03
6.96E+02,2.63E-03
6.97E+02,2.64E-03
6.98E+02,2.65E-03
6.99E+02,2.66E-03
7.00E+02,2.67E-03
7.01E+02,2.68E-03
7.02E+02,2.69E-03
7.03E+02,2.70E-03
7.04E+02,2.71E-03
7.05E+02,2.72E-03
7.06E+02,2.73E-03
7.07E+02,2.74E-03
7.08E+02,2.75E-03
7.09E+02,2.76E-03
7.10E+02,2.77E-03
7.11E+02,2.78E-03
7.12E+02,2.79E-03
7.13E+02,2.80E-03
7.14E+02,2.81E-03
7.15E+02,2.82E-03
7.16E+02,2.83E-03
7.17E+02,2.84E-03
7.18E+02,2.85E-03
7.19E+02,2.86E-03
7.20E+02,2.87E-03
7.21E+02,2.88E-03
7.22E+02,2.89E-03
7.23E+02,2.90E-03
7.24E+02,2.91E-03
7.25E+02,2.92E-03
7.26E+02,2.93E-03
7.27E+02,2.94E-03
7.28E+02,2.95E-03
7.29E+02,2.96E-03
7.30E+02,2.97E-03
7.31E+02,2.98E-03
7.32E+02,2.99E-03
7.33E+02,3.00E-03
7.34E+02,3.01E-03
7.35E+02,3.02E-03
7.36E+02,3.03E-03
7.37E+02,3.04E-03
7.38E+02,3.05E-03
7.39E+02,3.06E-03
7.40E+02,3.07E-03
7.41E+02,3.08E-03
7.42E+02,3.09E-03
7.43E+02,3.10E-03
7.44E+02,3.11E-03
7.45E+02,3.12E-03
7.46E+02,3.13E-03
7.47E+02,3.14E-03
7.48E+02,3.15E-03
7.49E+02,3.16E-03
7.50E+02,3.17E-03
7.51E+02,3.18E-03
7.52E+02,3.19E-03
