Date,Chatershaugh_No1_Shaft
14-Oct-08,-8.94
15-Oct-08,-8.85
16-Oct-08,-8.79
17-Oct-08,-8.76
18-Oct-08,-8.68
19-Oct-08,-8.60
20-Oct-08,-8.48
21-Oct-08,-8.44
22-Oct-08,-8.44
23-Oct-08,-8.34
24-Oct-08,-8.31
25-Oct-08,-8.24
26-Oct-08,-8.15
27-Oct-08,-8.07
28-Oct-08,-8.03
29-Oct-08,-7.95
30-Oct-08,-7.88
31-Oct-08,-7.84
01-Nov-08,-7.81
02-Nov-08,-7.77
03-Nov-08,-7.71
04-Nov-08,-7.66
05-Nov-08,-7.60
06-Nov-08,-7.50
07-Nov-08,-7.40
08-Nov-08,-7.32
09-Nov-08,-7.25
10-Nov-08,-7.18
11-Nov-08,-7.13
12-Nov-08,-7.16
13-Nov-08,-7.12
14-Nov-08,-7.06
15-Nov-08,-7.02
16-Nov-08,-7.01
17-Nov-08,-6.93
18-Nov-08,-6.82
19-Nov-08,-6.77
20-Nov-08,-6.70
21-Nov-08,-6.65
22-Nov-08,-6.62
23-Nov-08,-6.45
24-Nov-08,-6.43
25-Nov-08,-6.47
26-Nov-08,-6.43
27-Nov-08,-6.30
28-Nov-08,-6.21
29-Nov-08,-6.15
30-Nov-08,-6.11
01-Dec-08,-6.10
02-Dec-08,-6.03
03-Dec-08,-5.98
04-Dec-08,-5.82
05-Dec-08,-5.79
06-Dec-08,-5.88
07-Dec-08,-5.89
08-Dec-08,-5.81
09-Dec-08,-5.76
10-Dec-08,-5.70
11-Dec-08,-5.62
12-Dec-08,-5.54
13-Dec-08,-5.40
14-Dec-08,-5.40
15-Dec-08,-5.44
16-Dec-08,-5.36
17-Dec-08,-5.30
18-Dec-08,-5.24
19-Dec-08,-5.22
20-Dec-08,-5.19
21-Dec-08,-5.15
22-Dec-08,-5.13
23-Dec-08,-5.10
24-Dec-08,-5.05
25-Dec-08,-5.01
26-Dec-08,-4.97
27-Dec-08,-4.92
28-Dec-08,-4.84
29-Dec-08,-4.77
30-Dec-08,-4.72
31-Dec-08,-4.66
01-Jan-09,-4.62
02-Jan-09,-4.58
03-Jan-09,-4.52
04-Jan-09,-4.43
05-Jan-09,-4.39
06-Jan-09,-4.36
07-Jan-09,-4.29
08-Jan-09,-4.26
09-Jan-09,-4.22
10-Jan-09,-4.14
11-Jan-09,-4.04
12-Jan-09,-3.96
